relationship	source	target	output	correct	correct (manual)	wrong_honorific_types	honorific_types	structure_types
あなたは井上先輩に敬語を使います。あなたと井上先輩は林社長に敬語を使います。	井上先輩が聞きなさると林社長が知る。	井上先輩がお聞きになると林社長がご存じである。	井上先輩が聞く	0	0	NA#SH	SH#SH	indirect-speech#scrambling
あなたは高橋様に敬語を使います。あなたと高橋様は加藤教授に敬語を使います。	高橋様が帰ると加藤教授がおっしゃる。	高橋様がお帰りになると加藤教授がおっしゃる。	高橋様が帰ると加藤教授がおっしゃる	0	0	SH#NA	SH#SH	indirect-speech#scrambling
あなたは山本先生に敬語を使います。あなたと山本先生は井上教授に敬語を使います。	山本先生がご覧になると井上教授が存じ上げる。	山本先生がご覧になると井上教授が知りなさる。	山本先生がご覧になると井上教授がご存じになる	0	1	OH1#SH	SH#SH	indirect-speech#scrambling
あなたは井上さんに敬語を使います。あなたと井上さんは斎藤教授に敬語を使います。	井上さんが拝見すると斎藤教授がおっしゃる。	井上さんがご覧になると斎藤教授がおっしゃる。	井上さんがご覧になると斎藤教授がおっしゃる	1	1	SH#OH1	SH#SH	indirect-speech#scrambling
あなたは吉田博士に敬語を使います。あなたと吉田博士は井上先輩に敬語を使います。	吉田博士が伺うと井上先輩が拝察する。	吉田博士がお聞きになると井上先輩がお考えになる。	吉田博士がお伺いする	0	0	OH1#OH1	SH#SH	indirect-speech#scrambling
あなたは井上博士に敬語を使います。あなたと井上博士は加藤社長に敬語を使います。	加藤社長がお食べになると井上博士が言う。	加藤社長が召し上がると井上博士がおっしゃる。	加藤社長がお召し上がると井上博士が言う	0	0	NA#SH	SH#SH	indirect-speech#scrambling
あなたは木村様に敬語を使います。あなたと木村様は渡辺教授に敬語を使います。	渡辺教授が食べると木村様がお思いになる。	渡辺教授が召し上がると木村様が思いなさる。	渡辺教授が召し上がると木村様が思いなす	0	0	SH#NA	SH#SH	indirect-speech#scrambling
あなたは中村教授に敬語を使います。あなたと中村教授は林博士に敬語を使います。	林博士がお聞きになると中村教授が拝察する。	林博士がお聞きになると中村教授がお考えになる。	林博士がお聞きになると中村教授がお見せする	0	0	OH1#SH	SH#SH	indirect-speech#scrambling
あなたは山本社長に敬語を使います。あなたと山本社長は伊藤教授に敬語を使います。	伊藤教授が頂戴すると山本社長がご理解になる。	伊藤教授が召し上がると山本社長がご理解になる。	伊藤教授がお召しになると山本社長がご理解する	0	0	SH#OH1	SH#SH	indirect-speech#scrambling
あなたは山本社長に敬語を使います。あなたと山本社長は田中様に敬語を使います。	田中様が頂戴すると山本社長が拝察する。	田中様がお食べになると山本社長がお考えになる。	###\n\n田中様がお召しになると山本社長がお見せする	0	0	OH1#OH1	SH#SH	indirect-speech#scrambling
あなたは伊藤に敬語を使いません。あなたと伊藤は松本に敬語を使いません。	伊藤が「松本が行く」とおっしゃる。	伊藤が「松本が行く」と言う。	伊藤が「松本が行く」と言う	1	1	SH#NA	NA#NA	direct-speech#center-embedding
あなたは吉田に敬語を使いません。あなたと吉田は小林に敬語を使いません。	吉田が「小林が行く」と拝察する。	吉田が「小林が行く」と思う。	吉田が「小林が行く」と見る	0	1	OH1#NA	NA#NA	direct-speech#center-embedding
あなたは佐々木に敬語を使いません。あなたと佐々木は渡辺に敬語を使いません。	佐々木が「渡辺がおいでになる」と知る。	佐々木が「渡辺が行く」と知る。	佐々木が「渡辺が来る」と知る	0	1	NA#SH	NA#NA	direct-speech#center-embedding
あなたは山本に敬語を使いません。あなたと山本は佐々木に敬語を使いません。	山本が「佐々木が頂戴する」と言う。	山本が「佐々木が食べる」と言う。	山本が「佐々木が召し上がる」と言う	0	0	NA#OH1	NA#NA	direct-speech#center-embedding
あなたは高橋に敬語を使いません。あなたと高橋は山本さんに敬語を使います。	山本さんが「高橋が帰る」と拝察する。	山本さんが「高橋が帰る」と思いなさる。	山本さんが「高橋がお帰りになる」とご覧になる	0	0	OH1#NA	SH#NA	direct-speech#center-embedding
あなたは山田に敬語を使いません。あなたと山田は中村社長に敬語を使います。	山田が「中村社長がお読みする」と知る。	山田が「中村社長がお読みになる」と知る。	山田が「中村社長がお読みになる」と知る	1	1	NA#OH1	NA#SH	direct-speech#center-embedding
あなたは吉田に敬語を使います。あなたと吉田は木村さんに敬語を使います。	木村さんが「吉田が見る」と拝察する。	木村さんが「吉田が見る」とお思いになる。	木村さんが「吉田が見る」とご覧になる	0	1	OH1#NA	SH#NA	direct-speech#center-embedding
あなたは小林に敬語を使います。あなたと小林は中村教授に敬語を使います。	中村教授が「小林がおいでになる」と思う。	中村教授が「小林が来る」と思いなさる。	中村教授が「小林が来る」と思う	0	0	NA#SH	SH#NA	direct-speech#center-embedding
あなたは山本に敬語を使います。あなたと山本は渡辺さんに敬語を使います。	渡辺さんが「山本がお読みする」と言う。	渡辺さんが「山本が読む」とおっしゃる。	渡辺さんが「山本が読む」とおっしゃる	1	1	NA#OH1	SH#NA	direct-speech#center-embedding
あなたは加藤に敬語を使います。あなたと加藤は松本先生に敬語を使います。	松本先生が「加藤が読みなさる」とおっしゃる。	松本先生が「加藤が読む」とおっしゃる。	松本先生が「加藤が読む」とおっしゃる	1	1	SH#SH	SH#NA	direct-speech#center-embedding
あなたは木村博士に敬語を使います。あなたと木村博士は林様に敬語を使います。	木村博士が「林様がご覧になる」と理解する。	木村博士が「林様がご覧になる」とご理解になる。	木村博士が「林様がご覧になる」と理解する	0	0	NA#SH	SH#SH	direct-speech#center-embedding
あなたは伊藤博士に敬語を使います。あなたと伊藤博士は林さんに敬語を使います。	伊藤博士が「林さんが食べる」と思いなさる。	伊藤博士が「林さんが召し上がる」と思いなさる。	伊藤博士が「林さんが召し上がる」と思う	0	0	SH#NA	SH#SH	direct-speech#center-embedding
あなたは小林教授に敬語を使います。あなたと小林教授は木村社長に敬語を使います。	小林教授が「木村社長がお受け取りになる」と申し上げる。	小林教授が「木村社長がお受け取りになる」とおっしゃる。	小林教授が「木村社長がお受け取りになる」とお伝えする	0	0	OH1#SH	SH#SH	direct-speech#center-embedding
あなたは松本様に敬語を使います。あなたと松本様は田中さんに敬語を使います。	松本様が「田中さんがお聞きする」と思いなさる。	松本様が「田中さんが聞きなさる」と思いなさる。	松本様が「田中さんがお聞きになる」と思う	0	0	SH#OH1	SH#SH	direct-speech#center-embedding
あなたは林教授に敬語を使います。あなたと林教授は斎藤博士に敬語を使います。	林教授が「斎藤博士がお受け取りする」と拝察する。	林教授が「斎藤博士が受け取りなさる」とお考えになる。	林教授が「斎藤博士がお受け取りになる」とお伺いする	0	0	OH1#OH1	SH#SH	direct-speech#center-embedding
あなたは林に敬語を使いません。あなたと林は高橋に敬語を使いません。	「高橋が受け取る」と林がご存じである。	「高橋が受け取る」と林が知る。	高橋が受け取る	0	0	SH#NA	NA#NA	direct-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は鈴木に敬語を使いません。	「鈴木が行く」と井上が拝察する。	「鈴木が行く」と井上が思う。	「鈴木が行く」と井上が見る	0	1	OH1#NA	NA#NA	direct-speech#scrambling
あなたは田中に敬語を使いません。あなたと田中は加藤に敬語を使いません。	「加藤が受け取りなさる」と田中が言う。	「加藤が受け取る」と田中が言う。	加藤が受け取る	0	0	NA#SH	NA#NA	direct-speech#scrambling
あなたは林に敬語を使いません。あなたと林は吉田に敬語を使いません。	「吉田が頂戴する」と林が言う。	「吉田が食べる」と林が言う。	「吉田が召し上がる」と林が言う	0	0	NA#OH1	NA#NA	direct-speech#scrambling
あなたは山本に敬語を使いません。あなたと山本は渡辺博士に敬語を使います。	「山本が来る」と渡辺博士が承知する。	「山本が来る」と渡辺博士がご理解になる。	山本が来る	0	0	OH1#NA	SH#NA	direct-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は斎藤先輩に敬語を使います。	「斎藤先輩が頂戴する」と井上が考える。	「斎藤先輩がお食べになる」と井上が考える。	斎藤先輩が召し上がる	0	0	NA#OH1	NA#SH	direct-speech#scrambling
あなたは井上に敬語を使います。あなたと井上は佐々木博士に敬語を使います。	「井上が聞く」と佐々木博士が拝察する。	「井上が聞く」と佐々木博士が考えなさる。	井上が聞く	0	0	OH1#NA	SH#NA	direct-speech#scrambling
あなたは山田に敬語を使います。あなたと山田は木村博士に敬語を使います。	「山田がおいでになる」と木村博士が思う。	「山田が来る」と木村博士が思いなさる。	山田がおいでになる	0	0	NA#SH	SH#NA	direct-speech#scrambling
あなたは吉田に敬語を使います。あなたと吉田は中村様に敬語を使います。	「吉田が頂戴する」と中村様が考える。	「吉田が食べる」と中村様がお考えになる。	「吉田がお召し上がりになる」と中村様が考える	0	0	NA#OH1	SH#NA	direct-speech#scrambling
あなたは加藤に敬語を使います。あなたと加藤は佐藤先輩に敬語を使います。	「加藤が行きなさる」と佐藤先輩がご存じである。	「加藤が行く」と佐藤先輩がご存じである。	加藤が行く	0	0	SH#SH	SH#NA	direct-speech#scrambling
あなたは加藤博士に敬語を使います。あなたと加藤博士は伊藤教授に敬語を使います。	「伊藤教授がお帰りになる」と加藤博士が考える。	「伊藤教授がお帰りになる」と加藤博士が考えなさる。	伊藤教授がお帰りになる	0	0	NA#SH	SH#SH	direct-speech#scrambling
あなたは加藤博士に敬語を使います。あなたと加藤博士は木村先生に敬語を使います。	「木村先生が受け取る」と加藤博士が考えなさる。	「木村先生がお受け取りになる」と加藤博士がお考えになる。	木村先生が受け取りなさる	0	0	SH#NA	SH#SH	direct-speech#scrambling
あなたは吉田博士に敬語を使います。あなたと吉田博士は田中様に敬語を使います。	「田中様がご覧になる」と吉田博士が申し上げる。	「田中様がご覧になる」と吉田博士がおっしゃる。	###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n	0	0	OH1#SH	SH#SH	direct-speech#scrambling
あなたは木村先生に敬語を使います。あなたと木村先生は鈴木さんに敬語を使います。	「鈴木さんが頂戴する」と木村先生がおっしゃる。	「鈴木さんがお食べになる」と木村先生がおっしゃる。	「鈴木さんがお召し上がる」と木村先生がおっしゃる	0	1	SH#OH1	SH#SH	direct-speech#scrambling
あなたは高橋様に敬語を使います。あなたと高橋様は吉田さんに敬語を使います。	「吉田さんが伺う」と高橋様が存じ上げる。	「吉田さんがおいでになる」と高橋様がご存じである。	吉田さんがおいでになる	0	0	OH1#OH1	SH#SH	direct-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は田中に敬語を使いません。	田中に井上が伝える。	田中に井上が伝える。	井上が田中に伝える	0	1		NA#	scrambling#
あなたは山本に敬語を使いません。あなたと山本は山田様に敬語を使います。	山本に山田様が会う。	山本に山田様がお会いになる。	山本に山田様がお会いになる	1	1		SH#	scrambling#
あなたは山本に敬語を使いません。あなたと山本は山田先輩に敬語を使います。	山田先輩に山本が依頼する。	山田先輩に山本がご依頼する。	山本が山田先輩にご依頼する	0	1		OH1#	scrambling#
あなたは山田さんに敬語を使います。あなたと山田さんは佐藤さんに敬語を使います。	山田さんに佐藤さんが与える。	山田さんに佐藤さんが与えなさる。	佐藤さんが山田さんに与えなさる	0	1		SH#	scrambling#
あなたは田中博士に敬語を使います。あなたと田中博士は佐藤先生に敬語を使います。	佐藤先生に田中博士が会う。	佐藤先生に田中博士がお会いする。	佐藤先生に田中博士がお会いする	1	1		OH1#	scrambling#
あなたは佐藤に敬語を使いません。あなたと佐藤は斎藤に敬語を使いません。	斎藤を佐藤が呼ぶ。	斎藤を佐藤が呼ぶ。	佐藤が斎藤を呼ぶ	0	1		NA#	scrambling#
あなたは小林に敬語を使いません。あなたと小林は鈴木社長に敬語を使います。	小林を鈴木社長が見送る。	小林を鈴木社長がお見送りになる。	鈴木社長が小林を見送りなさる	0	1		SH#	scrambling#
あなたは山口に敬語を使いません。あなたと山口は斎藤博士に敬語を使います。	斎藤博士を山口が呼ぶ。	斎藤博士を山口がお呼びする。	山口が斎藤博士をお呼びする	0	1		OH1#	scrambling#
あなたは高橋博士に敬語を使います。あなたと高橋博士は林先生に敬語を使います。	高橋博士を林先生が手伝う。	高橋博士を林先生が手伝いなさる。	林先生が高橋博士を手伝いなさる	0	1		SH#	scrambling#
あなたは小林社長に敬語を使います。あなたと小林社長は山口さんに敬語を使います。	山口さんを小林社長が待つ。	山口さんを小林社長がお待ちする。	山口さんを小林社長がお待ちする	1	1		OH1#	scrambling#
あなたは林に敬語を使いません。あなたと林は山田に敬語を使いません。	林が山田が帰ると考える。	林が山田が帰ると考える。	林が山田が帰る	0	0		NA#NA	indirect-speech#center-embedding
あなたは木村に敬語を使いません。あなたと木村は吉田教授に敬語を使います。	吉田教授が木村が行くと理解する。	吉田教授が木村が行くと理解なさる。	吉田教授が木村が行くことを理解なさる	0	1		SH#NA	indirect-speech#center-embedding
あなたは佐々木に敬語を使いません。あなたと佐々木は高橋社長に敬語を使います。	佐々木が高橋社長が食べると知る。	佐々木が高橋社長がお食べになると知る。	佐々木が高橋社長が召し上がる	0	0		NA#SH	indirect-speech#center-embedding
あなたは加藤教授に敬語を使います。あなたと加藤教授は田中教授に敬語を使います。	田中教授が加藤教授が行くと言う。	田中教授が加藤教授が行きなさるとおっしゃる。	田中教授が加藤教授がおいでになる	0	0		SH#SH	indirect-speech#center-embedding
あなたは山本教授に敬語を使います。あなたと山本教授は加藤社長に敬語を使います。	山本教授が加藤社長が受け取ると理解する。	山本教授が加藤社長が受け取りなさると理解なさる。	山本教授が加藤社長が受け取りなさる	0	0		SH#SH	indirect-speech#center-embedding
あなたは中村に敬語を使いません。あなたと中村は佐々木に敬語を使いません。	佐々木が帰ると中村が理解する。	佐々木が帰ると中村が理解する。	佐々木が帰ると中村が理解する	1	1		NA#NA	indirect-speech#scrambling
