relationship	source	target	output	correct	correct (manual)	structure_types	wrong_honorific_types	honorific_types
あなたは渡辺博士に敬語を使います。あなたと渡辺博士は中村さんに敬語を使います。	渡辺博士が中村さんを紹介なさる。	渡辺博士が中村さんをご紹介する。	渡辺博士が中村さんをご紹介する	1	1	#	SH#	OH1#
あなたは林に敬語を使いません。	林が受け取る。	林が受け取る。	林が受け取る	1	1	#		NA#
あなたは加藤先生に敬語を使います。	加藤先生が聞く。	加藤先生がお聞きになる。	加藤先生がお聞きになる	1	1	#		SH#
あなたは斎藤に敬語を使いません。あなたと斎藤は鈴木に敬語を使いません。	斎藤が鈴木に伝える。	斎藤が鈴木に伝える。	斎藤が鈴木に伝える	1	1	#		NA#
あなたは斎藤に敬語を使いません。あなたと斎藤は鈴木博士に敬語を使います。	鈴木博士が斎藤に依頼する。	鈴木博士が斎藤に依頼なさる。	鈴木博士が斎藤にご依頼になる	0	1	#		SH#
あなたは山田に敬語を使いません。あなたと山田は高橋先輩に敬語を使います。	山田が高橋先輩に与える。	山田が高橋先輩に差し上げる。	山田が高橋先輩に差し上げる	1	1	#		OH1#
あなたは林さんに敬語を使います。あなたと林さんは鈴木様に敬語を使います。	鈴木様が林さんに依頼する。	鈴木様が林さんにご依頼になる。	鈴木様が林さんにご依頼になる	1	1	#		SH#
あなたは林さんに敬語を使います。あなたと林さんは中村先生に敬語を使います。	林さんが中村先生に依頼する。	林さんが中村先生にご依頼する。	林さんが中村先生にご依頼する	1	1	#		OH1#
あなたは斎藤に敬語を使いません。あなたと斎藤は井上に敬語を使いません。	斎藤が井上を紹介する。	斎藤が井上を紹介する。	斎藤が井上を紹介する	1	1	#		NA#
あなたは小林に敬語を使いません。あなたと小林は井上先輩に敬語を使います。	井上先輩が小林を紹介する。	井上先輩が小林を紹介なさる。	井上先輩が小林をご紹介になる	0	1	#		SH#
あなたは山田に敬語を使いません。あなたと山田は伊藤様に敬語を使います。	山田が伊藤様を紹介する。	山田が伊藤様をご紹介する。	山田が伊藤様をご紹介する	1	1	#		OH1#
あなたは山田さんに敬語を使います。あなたと山田さんは渡辺様に敬語を使います。	渡辺様が山田さんを手伝う。	渡辺様が山田さんをお手伝いになる。	渡辺様が山田さんをお手伝いになる	1	1	#		SH#
あなたは林博士に敬語を使います。あなたと林博士は山口先輩に敬語を使います。	林博士が山口先輩を待つ。	林博士が山口先輩をお待ちする。	林博士が山口先輩をお待ちする	1	1	#		OH1#
あなたは伊藤に敬語を使いません。	伊藤がおいでになる。	伊藤が行く。	伊藤がおいでになる	0	0	#	SH#	NA#
あなたは高橋に敬語を使いません。	高橋が伺う。	高橋が来る。	高橋がおいでになる	0	0	#	OH1#	NA#
あなたは吉田先生に敬語を使います。	吉田先生が拝見する。	吉田先生がご覧になる。	吉田先生がご覧になる	1	1	#	OH1#	SH#
あなたは佐々木に敬語を使いません。あなたと佐々木は井上に敬語を使いません。	佐々木が井上に感謝なさる。	佐々木が井上に感謝する。	佐々木が井上に感謝する	1	1	#	SH#	NA#
あなたは松本に敬語を使いません。あなたと松本は鈴木に敬語を使いません。	松本が鈴木にお目にかかる。	松本が鈴木に会う。	松本が鈴木に会う	1	1	#	OH1#	NA#
あなたは山本に敬語を使いません。あなたと山本は山田様に敬語を使います。	山田様が山本にお会いする。	山田様が山本にお会いになる。	山田様が山本にお会いになる	1	1	#	OH1#	SH#
あなたは斎藤に敬語を使いません。あなたと斎藤は田中社長に敬語を使います。	斎藤が田中社長に伝えなさる。	斎藤が田中社長にお伝えする。	斎藤が田中社長にお伝えする	1	1	#	SH#	OH1#
あなたは加藤社長に敬語を使います。あなたと加藤社長は高橋さんに敬語を使います。	高橋さんが加藤社長に差し上げる。	高橋さんが加藤社長にお与えになる。	高橋さんが加藤社長に与えなさる	0	1	#	OH1#	SH#
あなたは林様に敬語を使います。あなたと林様は鈴木教授に敬語を使います。	林様が鈴木教授に与えなさる。	林様が鈴木教授に差し上げる。	林様が鈴木教授に差し上げる	1	1	#	SH#	OH1#
あなたは山口に敬語を使いません。あなたと山口は伊藤に敬語を使いません。	山口が伊藤を見送りなさる。	山口が伊藤を見送る。	山口が伊藤を見送る	1	1	#	SH#	NA#
あなたは渡辺に敬語を使いません。あなたと渡辺は山本に敬語を使いません。	渡辺が山本をご紹介する。	渡辺が山本を紹介する。	渡辺が山本をご紹介する	0	1	#	OH1#	NA#
あなたは伊藤に敬語を使いません。あなたと伊藤は山本博士に敬語を使います。	山本博士が伊藤をご紹介する。	山本博士が伊藤を紹介なさる。	山本博士が伊藤をご紹介になる	0	1	#	OH1#	SH#
あなたは山本に敬語を使いません。あなたと山本は伊藤博士に敬語を使います。	山本が伊藤博士をお手伝いになる。	山本が伊藤博士をお手伝いする。	山本が伊藤博士をお手伝いする	1	1	#	SH#	OH1#
あなたは井上様に敬語を使います。あなたと井上様は木村先生に敬語を使います。	木村先生が井上様をお呼びする。	木村先生が井上様をお呼びになる。	木村先生が井上様を呼びなさる	0	1	#	OH1#	SH#
あなたは吉田先輩に敬語を使います。あなたと吉田先輩は木村博士に敬語を使います。	吉田先輩が木村博士をご紹介になる。	吉田先輩が木村博士をご紹介する。	吉田先輩が木村博士をご紹介する	1	1	#	SH#	OH1#
あなたは鈴木に敬語を使いません。	鈴木が行く。	鈴木が行く。	鈴木が行く	1	1	#		NA#
あなたは斎藤博士に敬語を使います。	斎藤博士が来る。	斎藤博士がおいでになる。	斎藤博士が来る	0	0	#		SH#
あなたは佐藤に敬語を使いません。あなたと佐藤は山田に敬語を使いません。	佐藤が山田に会う。	佐藤が山田に会う。	佐藤が山田に会う	1	1	#		NA#
あなたは吉田に敬語を使いません。あなたと吉田は佐藤様に敬語を使います。	佐藤様が吉田に伝える。	佐藤様が吉田にお伝えになる。	佐藤様が吉田にお伝えになる	1	1	#		SH#
あなたは佐々木に敬語を使いません。あなたと佐々木は斎藤さんに敬語を使います。	佐々木が斎藤さんに伝える。	佐々木が斎藤さんにお伝えする。	佐々木が斎藤さんにお伝えする	1	1	#		OH1#
あなたは佐藤教授に敬語を使います。あなたと佐藤教授は鈴木社長に敬語を使います。	鈴木社長が佐藤教授に与える。	鈴木社長が佐藤教授に与えなさる。	鈴木社長が佐藤教授に与えなさる	1	1	#		SH#
あなたは木村様に敬語を使います。あなたと木村様は佐藤様に敬語を使います。	木村様が佐藤様に感謝する。	木村様が佐藤様に感謝申し上げる。	木村様が佐藤様に感謝申し上げる	1	1	#		OH1#
あなたは山口に敬語を使いません。あなたと山口は佐々木に敬語を使いません。	山口が佐々木を紹介する。	山口が佐々木を紹介する。	山口が佐々木を紹介する	1	1	#		NA#
あなたは山田に敬語を使いません。あなたと山田は吉田先輩に敬語を使います。	吉田先輩が山田を手伝う。	吉田先輩が山田を手伝いなさる。	吉田先輩が山田を手伝いなさる	1	1	#		SH#
あなたは中村に敬語を使いません。あなたと中村は吉田様に敬語を使います。	中村が吉田様を待つ。	中村が吉田様をお待ちする。	中村が吉田様をお待ちする	1	1	#		OH1#
あなたは佐藤さんに敬語を使います。あなたと佐藤さんは山本様に敬語を使います。	山本様が佐藤さんを見送る。	山本様が佐藤さんをお見送りになる。	山本様が佐藤さんをお見送りになる	1	1	#		SH#
あなたは小林先生に敬語を使います。あなたと小林先生は吉田先生に敬語を使います。	小林先生が吉田先生を呼ぶ。	小林先生が吉田先生をお呼びする。	小林先生が吉田先生をお呼びする	1	1	#		OH1#
あなたは木村に敬語を使いません。	木村がお受け取りになる。	木村が受け取る。	木村が受け取る	1	1	#	SH#	NA#
あなたは松本に敬語を使いません。	松本がお読みする。	松本が読む。	松本が読む	1	1	#	OH1#	NA#
あなたは吉田社長に敬語を使います。	吉田社長が伺う。	吉田社長がおいでになる。	吉田社長がおいでになる	1	1	#	OH1#	SH#
あなたは渡辺に敬語を使いません。あなたと渡辺は加藤に敬語を使いません。	渡辺が加藤に依頼なさる。	渡辺が加藤に依頼する。	渡辺が加藤に依頼する	1	1	#	SH#	NA#
あなたは山田に敬語を使いません。あなたと山田は高橋に敬語を使いません。	山田が高橋にお会いする。	山田が高橋に会う。	山田が高橋に会う	1	1	#	OH1#	NA#
あなたは鈴木に敬語を使いません。あなたと鈴木は山口先生に敬語を使います。	山口先生が鈴木に感謝申し上げる。	山口先生が鈴木に感謝なさる。	山口先生が鈴木に感謝なさる	1	1	#	OH1#	SH#
あなたは渡辺に敬語を使いません。あなたと渡辺は佐藤社長に敬語を使います。	渡辺が佐藤社長にお会いになる。	渡辺が佐藤社長にお目にかかる。	渡辺が佐藤社長にお目にかかる	1	1	#	SH#	OH1#
あなたは高橋様に敬語を使います。あなたと高橋様は小林様に敬語を使います。	小林様が高橋様にご依頼する。	小林様が高橋様に依頼なさる。	小林様が高橋様にご依頼になる	0	1	#	OH1#	SH#
あなたは井上先生に敬語を使います。あなたと井上先生は中村先輩に敬語を使います。	井上先生が中村先輩に感謝なさる。	井上先生が中村先輩に感謝申し上げる。	井上先生が中村先輩に感謝申し上げる	1	1	#	SH#	OH1#
あなたは中村に敬語を使いません。あなたと中村は小林に敬語を使いません。	中村が小林をお待ちになる。	中村が小林を待つ。	中村が小林を待ちなさる	0	0	#	SH#	NA#
あなたは渡辺に敬語を使いません。あなたと渡辺は加藤に敬語を使いません。	渡辺が加藤をお呼びする。	渡辺が加藤を呼ぶ。	渡辺が加藤を呼ぶ	1	1	#	OH1#	NA#
あなたは山田に敬語を使いません。あなたと山田は木村さんに敬語を使います。	木村さんが山田をご紹介する。	木村さんが山田をご紹介になる。	木村さんが山田をご紹介になる	1	1	#	OH1#	SH#
あなたは高橋に敬語を使いません。あなたと高橋は吉田先輩に敬語を使います。	高橋が吉田先輩を紹介なさる。	高橋が吉田先輩をご紹介する。	高橋が吉田先輩をご紹介する	1	1	#	SH#	OH1#
あなたは木村様に敬語を使います。あなたと木村様は山田先輩に敬語を使います。	山田先輩が木村様をお見送りする。	山田先輩が木村様をお見送りになる。	山田先輩が木村様をお見送りになる	1	1	#	OH1#	SH#
あなたは佐藤博士に敬語を使います。あなたと佐藤博士は渡辺様に敬語を使います。	佐藤博士が渡辺様を紹介なさる。	佐藤博士が渡辺様をご紹介する。	佐藤博士が渡辺様をご紹介する	1	1	#	SH#	OH1#
あなたは伊藤に敬語を使いません。	伊藤が見る。	伊藤が見る。	伊藤が見る	1	1	#		NA#
あなたは佐藤先生に敬語を使います。	佐藤先生が食べる。	佐藤先生がお食べになる。	佐藤先生が食べる	0	0	#		SH#
あなたは田中に敬語を使いません。あなたと田中は松本に敬語を使いません。	田中が松本に与える。	田中が松本に与える。	田中が松本に与える	1	1	#		NA#
あなたは小林に敬語を使いません。あなたと小林は斎藤さんに敬語を使います。	斎藤さんが小林に感謝する。	斎藤さんが小林に感謝なさる。	斎藤さんが小林に感謝なさる	1	1	#		SH#
あなたは松本に敬語を使いません。あなたと松本は山口さんに敬語を使います。	松本が山口さんに伝える。	松本が山口さんにお伝えする。	松本が山口さんにお伝えする	1	1	#		OH1#
あなたは佐藤様に敬語を使います。あなたと佐藤様は林さんに敬語を使います。	林さんが佐藤様に伝える。	林さんが佐藤様に伝えなさる。	林さんが佐藤様にお伝えになる	0	1	#		SH#
あなたは佐々木様に敬語を使います。あなたと佐々木様は木村先生に敬語を使います。	佐々木様が木村先生に与える。	佐々木様が木村先生に差し上げる。	佐々木様が木村先生に差し上げる	1	1	#		OH1#
あなたは林に敬語を使いません。あなたと林は吉田に敬語を使いません。	林が吉田を手伝う。	林が吉田を手伝う。	林が吉田を手伝う	1	1	#		NA#
あなたは林に敬語を使いません。あなたと林は井上博士に敬語を使います。	井上博士が林を待つ。	井上博士が林を待ちなさる。	井上博士が林をお待ちになる	0	1	#		SH#
あなたは山口に敬語を使いません。あなたと山口は鈴木社長に敬語を使います。	山口が鈴木社長を呼ぶ。	山口が鈴木社長をお呼びする。	山口が鈴木社長をお呼びする	1	1	#		OH1#
あなたは吉田様に敬語を使います。あなたと吉田様は木村社長に敬語を使います。	木村社長が吉田様を呼ぶ。	木村社長が吉田様をお呼びになる。	木村社長が吉田様をお呼びになる	1	1	#		SH#
あなたは高橋先生に敬語を使います。あなたと高橋先生は松本先輩に敬語を使います。	高橋先生が松本先輩を見送る。	高橋先生が松本先輩をお見送りする。	高橋先生が松本先輩をお見送りする	1	1	#		OH1#
あなたは渡辺に敬語を使いません。	渡辺がお読みになる。	渡辺が読む。	渡辺が読む	1	1	#	SH#	NA#
あなたは吉田に敬語を使いません。	吉田がおいとまする。	吉田が帰る。	吉田がおいとなる	0	0	#	OH1#	NA#
あなたは加藤さんに敬語を使います。	加藤さんがお読みする。	加藤さんが読みなさる。	加藤さんが読む	0	0	#	OH1#	SH#
あなたは山田に敬語を使いません。あなたと山田は中村に敬語を使いません。	山田が中村にお与えになる。	山田が中村に与える。	山田が中村に与える	1	1	#	SH#	NA#
あなたは小林に敬語を使いません。あなたと小林は佐々木に敬語を使いません。	小林が佐々木にお伝えする。	小林が佐々木に伝える。	小林が佐々木に伝える	1	1	#	OH1#	NA#
あなたは井上に敬語を使いません。あなたと井上は高橋社長に敬語を使います。	高橋社長が井上に差し上げる。	高橋社長が井上にお与えになる。	高橋社長が井上に与えなさる	0	1	#	OH1#	SH#
あなたは伊藤に敬語を使いません。あなたと伊藤は木村社長に敬語を使います。	伊藤が木村社長に伝えなさる。	伊藤が木村社長にお伝えする。	伊藤が木村社長にお伝えする	1	1	#	SH#	OH1#
あなたは鈴木さんに敬語を使います。あなたと鈴木さんは伊藤博士に敬語を使います。	伊藤博士が鈴木さんにお目にかかる。	伊藤博士が鈴木さんにお会いになる。	伊藤博士が鈴木さんにお目にかかる	0	0	#	OH1#	SH#
あなたは松本さんに敬語を使います。あなたと松本さんは中村先生に敬語を使います。	松本さんが中村先生に感謝なさる。	松本さんが中村先生に感謝申し上げる。	松本さんが中村先生に感謝申し上げる	1	1	#	SH#	OH1#
あなたは伊藤に敬語を使いません。あなたと伊藤は佐々木に敬語を使いません。	伊藤が佐々木をお呼びになる。	伊藤が佐々木を呼ぶ。	伊藤が佐々木を呼ぶ	1	1	#	SH#	NA#
あなたは佐藤に敬語を使いません。あなたと佐藤は松本に敬語を使いません。	佐藤が松本をお待ちする。	佐藤が松本を待つ。	佐藤が松本を待ちなさる	0	0	#	OH1#	NA#
あなたは山口に敬語を使いません。あなたと山口は林様に敬語を使います。	林様が山口をお呼びする。	林様が山口を呼びなさる。	林様が山口を呼びなさる	1	1	#	OH1#	SH#
あなたは渡辺に敬語を使いません。あなたと渡辺は佐藤様に敬語を使います。	渡辺が佐藤様を見送りなさる。	渡辺が佐藤様をお見送りする。	渡辺が佐藤様をお見送りする	1	1	#	SH#	OH1#
あなたは木村教授に敬語を使います。あなたと木村教授は加藤さんに敬語を使います。	加藤さんが木村教授をお見送りする。	加藤さんが木村教授をお見送りになる。	加藤さんが木村教授を見送りなさる	0	1	#	OH1#	SH#
あなたは井上博士に敬語を使います。あなたと井上博士は高橋教授に敬語を使います。	井上博士が高橋教授を待ちなさる。	井上博士が高橋教授をお待ちする。	井上博士が高橋教授をお待ちする	1	1	#	SH#	OH1#
